name,value,changevalue,changepercentage
Nikkei 225,36158.02,+146.56,0.41
SSE Composite Index,2730.15,-40.59,1.46
Hang Seng Index,15533.56,-32.65,0.21
BSE SENSEX,72085.63,+440.34,0.61
NIFTY 50,21853.80,+156.35,0.72
S&P Asia 50,4333.44,+87.62,2.06
KOSPI,2615.31,+72.85,2.87
S&P/ASX 200,7699.40,+111.20,1.47
S&P/NZX 50 Index,11931.23,+14.45,0.12
S&P BSE - 100,22643.54,+153.72,0.68
TOPIX,2539.68,+5.64,0.22
A-share Index,2862.07,-42.57,1.47
B-share Index,242.07,-3.87,1.57
SZSE Component Index,8055.78,-184.71,2.24
SSE 180 Index,7035.72,-67.14,0.95
SSE 50 Index,2229.01,-19.25,0.86
ChiNext,1550.37,-38.66,2.43
CSI 300 Index,3179.63,-38.08,1.18
SZSE Composite Index,1491.70,-46.05,2.99
S&P/HKEX GEM Index,17.54,-0.22,1.24
S&P/HKEX Large Cap Index,22471.12,-71.75,0.32
Hang Seng China Enterprises Index,5218.99,-4.49,0.086
S&P BSE - 500,31471.57,+217.24,0.70
S&P BSE - 200,9824.30,+69.28,0.71
LQ45,984.67,+7.40,0.76
IDX Composite,7238.79,+37.09,0.52
FTSE ASEAN All-Share Index,816.63,+9.80,1.21
S&P/ASX 300,7637.70,+110.40,1.47
S&P/NZX 20 Index,7423.79,+5.34,0.072
S&P/NZX All Index,1800.98,+2.24,0.12
